Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances Winner,SRS Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,AP Poll Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,AP Poll Loser,Won a Major Conference Loser,Rebounds Loser
North Carolina,Syracuse,83,66,0,26,15.52,47.9,0.64,119.5,94,25.5,0.58,0.82,16,12.8,1,10.9,8,0.79,1,69.6,7,2,1,41,32,9.44,42.7,0.56,109.4,96.4,13,0.56,0.59,17,4.5,1,12.1,5,0.74,10,65.7,0,30,0,35.3
Villanova,North Carolina,77,74,0,13,9.6,46.7,0.65,107.2,93,14.2,0.59,0.85,4,13.3,0,11.1,8,0.66,2,63.7,0,47,0,35.6,26,15.52,47.9,0.64,119.5,94,25.5,0.58,0.82,16,12.8,1,10.9,8,0.79,1,69.6,7,2,1,41
North Carolina,Syracuse,83,66,0,26,15.52,47.9,0.64,119.5,94,25.5,0.58,0.82,16,12.8,1,10.9,8,0.79,1,69.6,7,2,1,41,32,9.44,42.7,0.56,109.4,96.4,13,0.56,0.59,17,4.5,1,12.1,5,0.74,10,65.7,0,30,0,35.3
Villanova,Oklahoma,95,51,0,13,9.6,46.7,0.65,107.2,93,14.2,0.59,0.85,4,13.3,0,11.1,8,0.66,2,63.7,0,47,0,35.6,17,9.38,45.9,0.64,115.4,93.3,22.1,0.59,0.78,4,10,1,13,6,0.62,2,70.4,0,45,0,38.8
North Carolina,Notre Dame,88,74,0,26,15.52,47.9,0.64,119.5,94,25.5,0.58,0.82,16,12.8,1,10.9,8,0.79,1,69.6,7,2,1,41,13,9.92,47.1,0.59,117.8,103.7,14.1,0.57,0.66,2,5.1,1,9.7,6,0.67,6,70.6,7,3,0,36.1
Syracuse,Virginia,68,62,0,32,9.44,42.7,0.56,109.4,96.4,13,0.56,0.59,17,4.5,1,12.1,5,0.74,10,65.7,0,30,0,35.3,6,6.03,48.7,0.65,118.3,91.9,26.4,0.6,0.79,2,10.7,1,9.4,7,0.69,1,59.7,1,6,0,31.9
Villanova,Kansas,64,59,0,13,9.6,46.7,0.65,107.2,93,14.2,0.59,0.85,4,13.3,0,11.1,8,0.66,2,63.7,0,47,0,35.6,18,15.38,49.4,0.67,118.9,92,26.9,0.6,0.88,10,13.8,1,12.6,10,0.76,1,67.6,0,22,1,37.3
Oklahoma,Oregon,80,68,0,17,9.38,45.9,0.64,115.4,93.3,22.1,0.59,0.78,4,10,1,13,6,0.62,2,70.4,0,45,0,38.8,12,5.48,46.7,0.66,119.4,97.4,22,0.6,0.82,1,9.7,1,11.6,8,0.65,1,69.4,0,27,1,35.8
North Carolina,Indiana,101,86,0,26,15.52,47.9,0.64,119.5,94,25.5,0.58,0.82,16,12.8,1,10.9,8,0.79,1,69.6,7,2,1,41,9,13.96,50.1,0.6,119,98.7,20.3,0.54,0.78,3,13.4,1,13.7,7,0.61,5,68.9,0,47,0,37.4
Notre Dame,Wisconsin,61,56,0,13,9.92,47.1,0.59,117.8,103.7,14.1,0.57,0.66,2,5.1,1,9.7,6,0.67,6,70.6,7,3,0,36.1,15,8.2,43,0.58,110,95.3,14.7,0.58,0.63,0,4.3,1,11,7,0.65,7,64.6,2,32,0,34.9
Syracuse,Gonzaga,63,60,0,32,9.44,42.7,0.56,109.4,96.4,13,0.56,0.59,17,4.5,1,12.1,5,0.74,10,65.7,0,30,0,35.3,17,1.99,48.6,0.58,114.8,97.8,17,0.52,0.79,5,13.5,0,11.3,8,0.81,11,66.8,0,34,0,39.4
Virginia,Iowa State,84,71,0,6,6.03,48.7,0.65,118.3,91.9,26.4,0.6,0.79,2,10.7,1,9.4,7,0.69,1,59.7,1,6,0,31.9,2,6.41,50.2,0.6,120.5,100.3,20.2,0.59,0.68,0,6.9,1,11.6,5,0.76,4,75,0,25,0,36.1
Kansas,Maryland,79,63,0,18,15.38,49.4,0.67,118.9,92,26.9,0.6,0.88,10,13.8,1,12.6,10,0.76,1,67.6,0,22,1,37.3,7,9.76,48.8,0.61,113.8,96.3,17.5,0.57,0.76,1,9.8,1,12.9,5,0.63,5,66.4,6,10,0,36.1
Oklahoma,Texas A&M,77,63,0,17,9.38,45.9,0.64,115.4,93.3,22.1,0.59,0.78,4,10,1,13,6,0.62,2,70.4,0,45,0,38.8,3,2.03,44.9,0.61,112.6,93.7,18.9,0.56,0.61,0,10.4,1,11.8,8,0.55,3,65.5,1,26,0,38.9
Oregon,Duke,82,68,0,12,5.48,46.7,0.66,119.4,97.4,22,0.6,0.82,1,9.7,1,11.6,8,0.65,1,69.4,0,27,1,35.8,32,15.79,45.9,0.61,119.3,100.7,18.6,0.59,0.7,22,9.4,1,9.9,6,0.73,4,72.1,12,19,0,36.3
Villanova,Miami (FL),92,69,0,13,9.6,46.7,0.65,107.2,93,14.2,0.59,0.85,4,13.3,0,11.1,8,0.66,2,63.7,0,47,0,35.6,7,2.62,47.7,0.63,117.2,97.1,20.1,0.58,0.78,2,8.8,1,10.7,7,0.61,3,66.8,0,18,0,35
Maryland,Hawaii,73,60,0,7,9.76,48.8,0.61,113.8,96.3,17.5,0.57,0.76,1,9.8,1,12.9,5,0.63,5,66.4,6,10,0,36.1,1,2.47,46.2,0.55,107,96.6,10.4,0.47,0.84,0,11.1,0,13.2,8,0.81,13,66.3,0,47,0,37.3
Notre Dame,SF Austin,76,75,0,13,9.92,47.1,0.59,117.8,103.7,14.1,0.57,0.66,2,5.1,1,9.7,6,0.67,6,70.6,7,3,0,36.1,3,-6.09,48.4,0.56,110.4,95.7,14.7,0.47,0.84,0,17.6,0,12.4,10,0.87,14,64.2,0,12,0,33.7
Oklahoma,VCU,85,81,0,17,9.38,45.9,0.64,115.4,93.3,22.1,0.59,0.78,4,10,1,13,6,0.62,2,70.4,0,45,0,38.8,1,4.89,45,0.58,108.8,95,13.8,0.55,0.71,0,9.9,0,11.4,7,0.65,10,67.3,0,47,0,37.4
Oregon,St. Josephs,69,64,0,12,5.48,46.7,0.66,119.4,97.4,22,0.6,0.82,1,9.7,1,11.6,8,0.65,1,69.4,0,27,1,35.8,7,4.12,45.4,0.61,112.9,99.2,13.7,0.55,0.79,0,7.7,0,10.1,7,0.6,8,69.9,0,47,0,38.6
Syracuse,MTSU,75,50,0,32,9.44,42.7,0.56,109.4,96.4,13,0.56,0.59,17,4.5,1,12.1,5,0.74,10,65.7,0,30,0,35.3,0,-4.33,45.1,0.56,102.2,99,3.2,0.5,0.73,0,4.4,0,12.1,7,0.61,15,69.5,4,47,0,36.3
Texas A&M,Northern Iowa,92,88,2,3,2.03,44.9,0.61,112.6,93.7,18.9,0.56,0.61,0,10.4,1,11.8,8,0.55,3,65.5,1,26,0,38.9,4,0.93,45.7,0.56,105.7,97.2,8.5,0.53,0.65,1,5.1,0,9.8,9,0.65,11,62.9,0,47,0,29.7
