Team Name,Tournament wins,SRS,Adj Off Efficiency kenpom.com,Adj Def Efficiency kenpom.com,Adj Off-Def,Average Scoring margin,Strength of Schedule,Coach Record http://www.sports-reference.com/cbb/seasons/2016-coaches.html,Turnovers Per Game,Wins Against Tournament Teams,Major Conference?,FG%,Seed,RPI,Last 10 Games,Points Allowed per Game,Games Played,Coach final four appearance,AP poll,Won a Major Conference,Rebounds,Coach Sweet 16 Entries,Coach tourney appearances,Winning %
Source,,http://www.sports-reference.com/cbb/schools/,kenpom.com,kenpom.com,,http://www.ncaa.com/stats/basketball-men/d1/current/team/147/p4,http://www.cbssports.com/collegebasketball/bracketology/sos,http://www.sports-reference.com/cbb/seasons/2016-coaches.html,http://www.ncaa.com/stats/basketball-men/d1/current/team/217,"http://espn.go.com/mens-college-basketball/team/schedule/_/id/275/wisconsin-badgers, http://fivethirtyeight.com/features/how-fivethirtyeight-is-forecasting-the-2016-ncaa-tournament/",http://espn.go.com/mens-college-basketball/teams,http://www.sports-reference.com/cbb/seasons/2016-school-stats.html,http://i.turner.ncaa.com/sites/default/files/external/printable-bracket/2016/bracket-ncaa.pdf,http://espn.go.com/mens-college-basketball/rpi/_/sort/RPI,https://www.teamrankings.com/ncaa-basketball/ranking/last-10-games-by-other,https://www.teamrankings.com/ncaa-basketball/stat/opponent-points-per-game,http://espn.go.com/mens-college-basketball/statistics/team/_/stat/scoring-per-game/sort/gamesPlayed,http://www.sports-reference.com/cbb/seasons/2016-coaches.html,http://warrennolan.com/basketball/2016/polls/week/,,,,,
Arizona,0,8.53,116.1,96.5,19.6,12.2,0.5469,0.742,12.8,5,1,48.2,6,0.5968,7,69,33,0,17,0,40.3,6,9,0.758
Ark Little Rock,1,-3.03,108.3,96.1,12.2,11.3,0.4745,0.879,10.5,1,0,45.8,12,0.5797,8,60.1,33,0,35,0,32.9,0,1,0.879
Austin Peay,0,-5.6,104.4,108.9,-4.5,0.1,0.4815,0.512,14,0,0,46.3,16,0.4886,8,77.1,35,0,47,0,35.9,0,4,0.514
Baylor,0,0.72,116.9,99,17.9,7.9,0.5949,0.599,12.9,6,1,46.7,5,0.5974,5,69.6,33,0,21,0,36.8,3,6,0.667
Buffalo,0,-6.51,105.1,102.5,2.6,2.4,0.5377,0.588,13.7,7,0,43.8,14,0.5476,6,75.9,34,0,47,0,38.9,0,1,0.588
Butler,1,1.1,115.6,101.8,13.8,9.4,0.5461,0.54,10.2,6,0,46.6,9,0.5733,7,71.2,31,0,37,0,36.5,0,2,0.677
California,0,16.36,111.3,93.8,17.5,8.1,0.5852,0.607,12.2,7,1,46.1,4,0.6127,8,67,32,0,47,0,39.8,1,2,0.697
Chattanooga,0,-2.28,105.1,99.4,5.7,9.2,0.4807,0.853,12.4,1,0,45.6,12,0.5739,8,67.1,33,0,23,0,35.4,0,1,0.853
Cincinnati,0,11.4,107.7,93.1,14.6,10.3,0.547,0.645,11.1,4,0,42.8,9,0.578,6,62.9,34,0,47,0,39.4,1,8,0.688
Colorado,0,4.81,106.6,95.5,11.1,5.3,0.5645,0.562,13.4,3,1,42.6,8,0.5855,5,70.7,32,0,37,0,42.3,0,4,0.667
Connecticut,1,6.39,110.4,93.7,16.7,10.3,0.557,0.691,11.1,6,1,45.9,9,0.5853,7,63.1,33,0,47,0,36.4,1,2,0.706
CS Bakersfield,0,-5.59,102.3,95.4,6.9,9.8,0.4472,0.501,12.2,0,0,45.1,15,0.5262,9,63.3,34,1,29,0,38.1,1,4,0.75
Dayton,0,6.75,104.7,93.8,10.9,7.4,0.5573,0.68,13.1,2,0,46.0,7,0.6046,6,65.8,32,0,31,0,38.7,1,3,0.781
Duke,2,15.79,119.3,100.7,18.6,9.4,0.5897,0.725,9.9,5,1,45.9,4,0.6059,6,72.1,33,12,19,0,36.3,22,32,0.697
Fairleigh Dickinson,-1,-10,105.5,114.1,-8.6,-0.3,0.4504,0.391,12.9,0,0,46.2,16,0.4777,6,78.5,32,0,47,0,33.1,0,1,0.563
Florida Gulf Coast,0,-2.57,102.7,103.8,-1.1,2.7,0.4565,0.576,12.3,0,0,47.7,16,0.4735,7,72.9,33,0,47,0,39.4,0,1,0.606
Fresno State,0,5.26,106.2,100.3,5.9,4.9,0.5124,0.506,10.7,1,0,43.4,14,0.5641,9,71.2,34,0,47,0,37,0,1,0.735
Gonzaga,2,1.99,114.8,97.8,17,13.5,0.5235,0.808,11.3,1,0,48.6,11,0.5766,8,66.8,33,0,34,0,39.4,5,17,0.788
Hampton,0,-8.8,99.9,104.8,-4.9,0.9,0.4376,0.531,14,0,0,41.5,16,0.5045,8,74.1,35,0,47,0,41.3,0,3,0.677
Hawaii,1,2.47,107,96.6,10.4,11.1,0.4733,0.811,13.2,1,0,46.2,13,0.5508,8,66.3,31,0,47,0,37.3,0,1,0.844
Holy Cross,0,-1.6,97,105.8,-8.8,-4.3,0.4537,0.54,11,0,0,41.3,16,0.4552,5,69.7,32,0,47,0,30.2,0,3,0.424
Indiana,2,13.96,119,98.7,20.3,13.4,0.5379,0.611,13.7,10,1,50.1,5,0.5992,7,68.9,33,0,47,0,37.4,3,9,0.781
Iona,0,-4.25,110.4,101.2,9.2,5.9,0.5033,0.686,12.8,0,0,45.6,13,0.5566,9,73.7,32,1,14,0,36.9,0,3,0.781
