Schl,Opp,PTS,OPP Points,OT
North Carolina,Gonzaga,71,65,
Gonzaga,South Carolina,77,73,
North Carolina,Oregon,77,76,
South Carolina,Florida,77,70,
North Carolina,Kentucky,75,73,
Gonzaga,Xavier,83,59,
Oregon,Kansas,74,60,
South Carolina,Baylor,70,50,
Florida,Wisconsin,84,83,1
Kentucky,UCLA,86,75,
North Carolina,Butler,92,80,
Xavier,Arizona,73,71,
Gonzaga,West Virginia,61,58,
Kansas,Purdue,98,66,
Oregon,Michigan,69,68,
Baylor,USC,82,78,
South Carolina,Duke,88,81,
Kansas,Michigan St,90,70,
Kentucky,Wichita St,65,62,
Michigan,Louisville,73,69,
North Carolina,Arkansas,72,65,
Oregon,Rhode Island,75,72,
UCLA,Cincinnati,79,67,
Arizona,St Mary's CA,69,60,
Butler,MTSU,74,65,
Florida,Virginia,65,39,
Xavier,Florida St,91,66,
Gonzaga,Northwestern,79,73,
Purdue,Iowa St,80,76,
Wisconsin,Villanova,65,62,
West Virginia,Notre Dame,83,71,
Arkansas,Seton Hall,77,71,
Baylor,New Mexico St,91,73,
Cincinnati,Kansas St,75,61,
Rhode Island,Creighton,84,72,
Wichita St,Dayton,64,58,
Duke,Troy,87,65,
Kansas,UC Davis,100,62,
Kentucky,N Kentucky,79,70,
Louisville,Jacksonville St,78,63,
Michigan St,Miami FL,78,58,
Michigan,Oklahoma St,92,91,
North Carolina,TX Southern,103,64,
Oregon,Iona,93,77,
South Carolina,Marquette,93,73,
USC,SMU,66,65,
UCLA,Kent St,97,80,
Arizona,North Dakota,100,82,
Butler,Winthrop,76,64,
Florida,ETSU,80,65,
Florida St,FL Gulf Coast,86,80,
Gonzaga,S Dakota St,66,46,
Iowa St,Nevada,84,73,
Xavier,Maryland,76,65,
MTSU,Minnesota,81,72,
Northwestern,Vanderbilt,68,66,
Notre Dame,Princeton,60,58,
Purdue,Vermont,80,70,
St Mary's CA,VA Commonwealth,85,77,
Villanova,Mt St Mary's,76,56,
Virginia,UNC Wilmington,76,71,
West Virginia,Bucknell,86,80,
Wisconsin,Virginia Tech,84,74,
