Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,AP Poll Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,AP Poll Loser,Won a Major Conference Loser,Rebounds Loser
Villanova,Michigan,79,62,0,14,25.69,0.5,0.68,127.4,96,31.4,0.59,0.88,6,16.2,1,10.4,8,0.68,1,70.9,2,2,1,35.9,11,18.9,0.47,0.64,115.9,92.7,23.2,0.56,0.8,6,10.1,1,9.1,9,0.63,3,63.5,1,7,1,33.34
Michigan,Loyola Chicago,69,57,0,11,18.9,0.47,0.64,115.9,92.7,23.2,0.56,0.8,6,10.1,1,9.1,9,0.63,3,63.5,1,7,1,33.34,0,-0.25,0.51,0.62,111.3,96.2,15.1,0.51,0.85,1,9.7,0,12.2,10,0.51,11,62,0,27,0,32.16
Villanova,Kansas,95,79,0,14,25.69,0.5,0.68,127.4,96,31.4,0.59,0.88,6,16.2,1,10.4,8,0.68,1,70.9,2,2,1,35.9,19,22.01,0.47,0.66,120.9,97.7,23.2,0.6,0.79,13,10.6,1,11.7,8,0.77,1,70.9,2,4,1,35.59
Villanova,Texas Tech,71,59,0,14,25.69,0.5,0.68,127.4,96,31.4,0.59,0.88,6,16.2,1,10.4,8,0.68,1,70.9,2,2,1,35.9,1,19.57,0.46,0.61,114,92.1,21.9,0.56,0.73,1,10.5,1,12.5,5,0.72,3,64.7,0,14,1,36
Kansas,Duke,85,81,1,19,22.01,0.47,0.66,120.9,97.7,23.2,0.6,0.79,13,10.6,1,11.7,8,0.77,1,70.9,2,4,1,35.59,33,24.95,0.49,0.64,122.6,93.5,29.1,0.58,0.79,24,15.1,1,12.6,7,0.77,2,69.6,12,9,1,41.05
Loyola Chicago,Kansas St,78,62,0,0,-0.25,0.51,0.62,111.3,96.2,15.1,0.51,0.85,1,9.7,0,12.2,10,0.51,11,62,0,27,0,32.16,11,13.45,0.47,0.58,112.2,97.4,14.8,0.55,0.67,4,4.5,1,11.5,6,0.65,9,67.9,1,35,1,30.7
Michigan,Florida St,58,54,0,11,18.9,0.47,0.64,115.9,92.7,23.2,0.56,0.8,6,10.1,1,9.1,9,0.63,3,63.5,1,7,1,33.34,8,14.97,0.47,0.59,115.8,100,15.8,0.55,0.65,3,7.3,1,13,4,0.56,9,74.5,0,47,1,37.77
Kansas,Clemson,80,76,0,19,22.01,0.47,0.66,120.9,97.7,23.2,0.6,0.79,13,10.6,1,11.7,8,0.77,1,70.9,2,4,1,35.59,4,16.51,0.45,0.63,113.8,93.5,20.3,0.59,0.72,1,7.5,1,12.1,5,0.61,5,65.8,0,20,1,35.89
Villanova,West Virginia,90,78,0,14,25.69,0.5,0.68,127.4,96,31.4,0.59,0.88,6,16.2,1,10.4,8,0.68,1,70.9,2,2,1,35.9,23,20.17,0.43,0.61,119.2,97.4,21.8,0.57,0.71,9,10.6,1,11.3,6,0.71,5,69,2,15,1,37.86
Duke,Syracuse,69,65,0,33,24.95,0.49,0.64,122.6,93.5,29.1,0.58,0.79,24,15.1,1,12.6,7,0.77,2,69.6,12,9,1,41.05,32,12.25,0.42,0.59,107.7,94.1,13.6,0.58,0.61,18,3,1,12.6,5,0.74,11,64.5,5,47,1,37.16
Texas Tech,Purdue,78,65,0,1,19.57,0.46,0.61,114,92.1,21.9,0.56,0.73,1,10.5,1,12.5,5,0.72,3,64.7,0,14,1,36,10,24.14,0.5,0.63,123.2,96.6,26.6,0.57,0.82,4,15.5,1,10.7,6,0.68,2,65.6,0,11,1,35
Michigan,Texas A&M,99,72,0,11,18.9,0.47,0.64,115.9,92.7,23.2,0.56,0.8,6,10.1,1,9.1,9,0.63,3,63.5,1,7,1,33.34,3,15.71,0.46,0.6,111.2,94.3,16.9,0.59,0.63,2,5.2,1,13.6,6,0.56,7,69.8,0,47,1,41.43
