Team Name,Coach Tourney Appearances ,SRS ,FG%,RPI,Adj Off Efficiency,Adj Def Efficiency,Adj Off-Def,Strength of Schedule,Win %,Coach sweet 16 appearances,Avg. Scoring margin,Major Conference,Turnovers per game,Wins Last 10 Games ,Coach Record,Seed,Points Allowed Per Game,Coach final four appearance,AP Poll,Won a Major Conference,Rebounds
Alabama,0.00,12.96,0.46,0.58,108.50,94.60,13.90,0.60,0.56,0.00,2.40,1.00,14.10,4.00,0.55,9.00,70.00,0.00,47.00,1.00,35.83
Arizona,10.00,16.82,0.51,0.61,119.00,99.60,19.40,0.56,0.79,7.00,9.70,1.00,12.30,8.00,0.75,4.00,71.20,0.00,12.00,1.00,36.49
Arizona St,1.00,15.01,0.46,0.56,117.70,102.90,14.80,0.55,0.65,0.00,8.20,1.00,10.70,4.00,0.58,11.00,75.30,0.00,47.00,1.00,35.19
Arkansas,8.00,15.69,0.48,0.59,117.30,101.70,15.60,0.57,0.68,2.00,5.60,1.00,11.00,7.00,0.66,7.00,75.50,0.00,26.00,1.00,34.51
Auburn,8.00,17.58,0.44,0.62,118.20,97.60,20.60,0.56,0.78,4.00,10.10,1.00,12.30,5.00,0.65,4.00,73.30,0.00,19.00,1.00,37.94
Brooklyn,1.00,-8.07,0.46,0.46,103.30,111.10,-7.80,0.45,0.53,0.00,-0.10,0.00,14.10,7.00,0.53,16.00,76.80,0.00,47.00,0.00,37.91
Bucknell,1.00,4.18,0.47,0.55,109.20,102.40,6.80,0.48,0.74,0.00,8.30,0.00,12.60,9.00,0.68,14.00,72.90,0.00,47.00,0.00,36.60
Buffalo,1.00,7.62,0.47,0.60,114.30,103.80,10.50,0.54,0.77,0.00,8.20,0.00,12.50,8.00,0.62,13.00,76.50,0.00,36.00,0.00,38.56
Butler,0.00,16.44,0.47,0.58,115.80,97.90,17.90,0.58,0.61,0.00,6.30,1.00,11.20,4.00,0.55,10.00,72.80,0.00,32.00,1.00,34.23
Cincinnati,9.00,20.86,0.45,0.64,113.20,86.20,27.00,0.56,0.88,1.00,17.30,0.00,11.50,8.00,0.67,2.00,57.20,0.00,6.00,0.00,39.25
Clemson,4.00,16.51,0.45,0.63,113.80,93.50,20.30,0.59,0.72,1.00,7.50,1.00,12.10,5.00,0.61,5.00,65.80,0.00,20.00,1.00,35.89
Coll Charleston,0.00,1.62,0.46,0.57,109.90,105.20,4.70,0.48,0.79,0.00,5.40,0.00,9.60,9.00,0.58,13.00,69.80,0.00,47.00,0.00,33.21
Creighton,7.00,16.86,0.50,0.57,116.50,99.20,17.30,0.56,0.66,0.00,8.80,1.00,11.20,4.00,0.60,8.00,75.10,0.00,39.00,1.00,36.55
CS Fullerton,0.00,-0.53,0.47,0.52,105.00,103.70,1.30,0.48,0.65,0.00,1.00,0.00,14.10,8.00,0.43,15.00,71.70,0.00,47.00,0.00,35.09
Davidson,8.00,11.29,0.49,0.57,117.40,102.50,14.90,0.53,0.66,1.00,8.90,0.00,9.60,8.00,0.62,12.00,67.90,0.00,45.00,0.00,32.67
Duke,33.00,24.95,0.49,0.64,122.60,93.50,29.10,0.58,0.79,24.00,15.10,1.00,12.60,7.00,0.77,2.00,69.60,12.00,9.00,1.00,41.05
Florida,1.00,16.81,0.43,0.58,115.10,96.40,18.70,0.58,0.63,1.00,6.60,1.00,9.80,5.00,0.69,6.00,69.40,0.00,23.00,1.00,35.24
Florida St,8.00,14.97,0.47,0.59,115.80,100.00,15.80,0.55,0.65,3.00,7.30,1.00,13.00,4.00,0.56,9.00,74.50,0.00,47.00,1.00,37.77
