Team 1,Team2,Kaggle ID 1,Region 1,Seed 1,Adj Offensive Efficiency 1,Adj Defensive Efficiency 1,Points Allowed Per Game 1,Turnovers Per Game 1,Wins Last 10 Games 1,Kaggle ID 2,Region 2,Seed 2,Adj Offensive Efficiency 2,Adj Defensive Efficiency 2,Points Allowed Per Game 2,Turnovers Per Game 2,Wins Last 10 Games 2
Abilene Christian,Arizona State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1113,West,11,109.8,98.6,73.1,13.7,7
Abilene Christian,Auburn,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1120,Midwest,5,119.6,96.2,68.6,12.6,9
Abilene Christian,Baylor,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1124,West,9,113.5,98.2,67.2,13.3,4
Abilene Christian,Belmont,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1125,East,11,114.8,101.8,74.7,11.6,9
Abilene Christian,Bradley,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1133,East,15,100.9,101.2,65.2,12.7,8
Abilene Christian,Buffalo,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1138,West,6,114.9,94.6,71,12.1,10
Abilene Christian,Cincinnati,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1153,South,7,111.6,94.5,62.2,10.7,8
Abilene Christian,Colgate,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1159,South,15,110,105.8,70.1,13.0,10
Abilene Christian,Duke,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1181,East,1,120.1,88.1,67.6,13.0,7
Abilene Christian,Fairleigh Dickinson,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1192,West,16,106.2,110.4,72.5,13.5,9
Abilene Christian,Florida ,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1196,West,10,110.2,91.9,63.6,11.6,6
Abilene Christian,Florida State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1199,West,4,113,90.4,67.1,13.5,8
Abilene Christian,Gardner-Webb,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1205,South,16,107.5,108.2,73.4,11.5,8
Abilene Christian,Georgia State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1209,Midwest,14,107.9,102.3,73.1,11.6,8
Abilene Christian,Gonzaga,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1211,West,1,125.1,92.3,65.1,10.4,9
Abilene Christian,Houston,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1222,Midwest,3,114.1,91.7,61.2,11.6,8
Abilene Christian,Iona,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1233,Midwest,16,106.5,109.6,75.6,12.4,10
Abilene Christian,Iowa,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1234,South,10,117.2,101.2,73.6,12.3,4
Abilene Christian,Iowa State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1235,Midwest,6,119,97.1,68.3,11.0,5
Abilene Christian,Kansas,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1242,Midwest,4,112.7,92,70.1,13.4,7
Abilene Christian,Kansas State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1243,South,4,108,87.7,59.2,11.5,7
Abilene Christian,Kentucky,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1246,Midwest,2,118.2,90.8,65.4,12.7,7
Abilene Christian,LSU,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1261,East,3,118.5,97.5,73,13.2,8
Abilene Christian,Liberty,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1251,East,12,110.6,99.7,62.3,11.0,9
Abilene Christian,Louisville,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1257,East,7,113.4,92.4,67.8,12.4,3
Abilene Christian,Marquette,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1266,West,5,114.2,95.7,69.1,14.0,5
Abilene Christian,Maryland,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1268,East,6,113.8,93.8,65.1,13.3,5
Abilene Christian,Michigan,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1276,West,2,115.5,86.1,58.6,9.0,6
Abilene Christian,Michigan State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1277,East,2,121.7,90.4,65.5,13.0,9
Abilene Christian,Minnesota,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1278,East,10,110.7,96.2,69.2,12.3,5
Abilene Christian,Miss State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1280,East,5,117.4,96.7,70.1,12,7
Abilene Christian,Montana,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1285,West,15,107.4,103.8,69.2,12.2,8
Abilene Christian,Murray State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1293,West,12,112,98.7,68.4,12.1,10
Abilene Christian,N. Kentucky,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1297,West,14,109.2,102.7,70,12.5,8
Abilene Christian,N. Mexico State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1308,Midwest,12,112.6,99,64.8,11.9,10
Abilene Christian,NC Central,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1300,East,16,96.6,108.5,67.9,15.5,8
Abilene Christian,Nevada,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1305,West,7,114,95.1,66.7,10.2,7
Abilene Christian,North Carolina,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1314,Midwest,1,119.9,90.7,72.9,13.4,8
Abilene Christian,North Dakota State,1101,Midwest,15,103.6,101.5,64.9,12.0,8,1295,East,16,106.6,109.8,73.7,10.6,7
