Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,
Abilene Christian,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Arizona State,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Auburn,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Baylor,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Belmont,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Bradley,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Buffalo,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Cincinnati,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Colgate,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Duke,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Fairleigh Dickinson,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Florida ,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Florida State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Gardner-Webb,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Georgia State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Gonzaga,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Houston,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Iona,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Iowa,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Iowa State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Kansas,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Kansas State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Kentucky,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Liberty,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Louisville,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
LSU,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Marquette,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Maryland,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Michigan,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Michigan State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Minnesota,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Miss State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Montana,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Murray State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
N. Kentucky,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
N. Mexico State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
NC Central,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Nevada,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
North Carolina,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
North Dakota State,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Northeastern,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Ohio State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Oklahoma,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Old Dominion,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Ole Miss,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Oregon,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Prairie View,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Purdue,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Saint Louis,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Saint Mary's,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Seton Hall,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
St. Johns,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Syracuse,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Temple,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,
Tennessee,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Texas Tech,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
UC Irvine,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
UCF,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Utah State,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Va Tech,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
VCU,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Vermont,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Villanova,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Virginia,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Washington,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Wisconsin,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Wofford,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
Yale,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,
