Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,
Abilene Christian,1,0.032680705055956105,0.00356602990778616,0.00022285633723438826,1.324063665611323e-05,4.2948905706186425e-07,1.642616487176575e-08,
Arizona State,0.5939861738011168,0.1666617327993003,0.03624287799752975,0.006653646166167113,0.0007301689964127418,0.00010534359909686932,1.1920586232092632e-05,
Auburn,1,0.7708748770231434,0.4694697048759874,0.19908841494394008,0.09313146410146197,0.025849411596562004,0.00702228776836666,
Baylor,1,0.48401742940354764,0.05499978476801086,0.02491578694860193,0.005780079286406799,0.0012977813912614326,0.00024920390972312943,
Belmont,0.7609829967902266,0.2809604942884099,0.1288474505011248,0.024068606515323134,0.005853313287737141,0.0009945160539541582,0.00017163905677126874,
Bradley,1,0.017599806489881575,0.0007398431003069973,4.677773364481009e-05,1.6551782794256958e-06,3.749829577471027e-08,7.536955687765398e-10,
Buffalo,1,0.7729139185325955,0.2324236426757614,0.07752159361234026,0.014327872894416114,0.0035718595114291583,0.0007717276941244713,
Cincinnati,1,0.610872492858427,0.1893038460491514,0.06968394035798883,0.009214204048744156,0.003114380699940139,0.0005048675426753882,
Colgate,1,0.06498498161528232,0.0145087792249241,0.0015415985963143698,0.0001229060386502003,1.2269438363078745e-05,9.858927294643826e-07,
Duke,1,0.9792468273403447,0.5556770720623335,0.4939868088459315,0.3447868888047451,0.18580584827408195,0.11106129283983567,
Fairleigh Dickinson,0.5033328841469087,0.009720140751528345,0.0009353789305368973,9.235711589920622e-05,5.347007782216628e-06,2.3465122343848814e-07,7.288281961398658e-09,
Florida ,1,0.6564390412881301,0.23146052207990686,0.08467188000160869,0.01952839465572506,0.006624424051610615,0.0018400778835484415,
Florida State,1,0.7138782235910117,0.5242203644048121,0.1174665675781719,0.030546694074872018,0.010725439241605662,0.003031879283602731,
Gardner-Webb,1,0.034234077208224134,0.005619997621081083,0.00071356016647218,4.789807966553535e-05,2.963385248703655e-06,1.6184291907870402e-07,
Georgia State,1,0.13418364067708777,0.022733978914922535,0.0028883005108000987,0.00036662485964390203,2.7447209615668457e-05,2.3787406845283186e-06,
Gonzaga,1,0.9840412502564362,0.8861103339197768,0.7706843107371225,0.5584069317070233,0.3586083019973742,0.2517600152943826,
Houston,1,0.8658163593229122,0.6128449581223024,0.28492091251818397,0.12113002958237398,0.03381528448864047,0.007557398378263418,
Iona,1,0.025871422012092915,0.003648265446269622,0.0002545289708487021,1.462233565952291e-05,5.365686330446174e-07,2.1446293715892064e-08,
Iowa,1,0.38912750714157296,0.1174284110746183,0.039727014663608465,0.00788147466047717,0.002449918994849292,0.0004211627868942625,
Iowa State,1,0.6883239972419871,0.23381700479579853,0.11102474322153892,0.05174013058983661,0.015432890593539838,0.0032899556742489234,
Kansas,1,0.7798335315110309,0.4002580111608735,0.1350228385384738,0.05861374845723349,0.013585804288510818,0.00276048153587018,
Kansas State,1,0.5406213404883464,0.16363277601184106,0.02949685511047106,0.01748946568158117,0.00921591166224294,0.00336361120321586,
Kentucky,1,0.9673192949440439,0.7907237527136964,0.4880597216363388,0.2860484202148046,0.12499576484774591,0.03836245905193074,
Liberty,1,0.3356839308392081,0.081043205253696,0.01813359270200457,0.0036553615042638826,0.0005109479315022845,6.87639153375638e-05,
Louisville,1,0.7580710572639406,0.23250997805100607,0.16312741521767343,0.06153305290185986,0.013285728865218007,0.004129453884477345,
LSU,1,0.7733939076141108,0.3684470674714934,0.08072688184355957,0.01720426747682551,0.002904157728067731,0.0005568081765531411,
Marquette,1,0.604824751275759,0.22841199692637407,0.029194955268212263,0.005037630292283375,0.000860409450010957,0.00014174879635806152,
Maryland,1,0.6719756300928804,0.43866898211147537,0.09787670659500407,0.029149191505037798,0.004823091739145113,0.001099542565078387,
Michigan,1,0.8412290221282086,0.6577937048639926,0.3225631587197345,0.131454985172081,0.07207834461706876,0.03798543729487648,
Michigan State,1,0.9824001935101184,0.736140851728968,0.6149843510750205,0.343399619604481,0.14280253295700965,0.08122134801267047,
Minnesota,1,0.24192894273605936,0.03060932711971883,0.012598853820267172,0.0031206981130188294,0.0004243933348013141,7.436234390308817e-05,
Miss State,1,0.6643160691607919,0.2882606664336219,0.055534029770543225,0.01126087551237325,0.0016530871506677737,0.0003369036859084679,
Montana,1,0.1587709778717914,0.026489191584318342,0.003177664466226953,0.00021371848004970908,1.7647593217121454e-05,1.1341162276874684e-06,
Murray State,1,0.39517524872424103,0.17080551106152914,0.02379158774941644,0.005864879024138829,0.0011075992102953386,0.00017669296495705937,
N. Kentucky,1,0.14005347692241688,0.026185229596547153,0.004539042180003724,0.00038702540571967415,4.0891778823387264e-05,3.6514794175576944e-06,
N. Mexico State,1,0.2291251229768566,0.09811780664817275,0.03096848071422424,0.007273483295303484,0.0011299625511736896,0.00018336951631406001,
NC Central,0.3685629120775198,0.005106175944610548,0.0003321585583167557,8.888270208600063e-06,1.8820571398008817e-07,4.1785147589782545e-09,7.22248640482751e-11,
Nevada,1,0.34356095871186987,0.08425658147178221,0.027322512132854793,0.004663253306977947,0.0009562655044614633,0.00021149558515698628,
North Carolina,1,0.9741285779879071,0.7286071806132094,0.5192484262564511,0.30645908636883806,0.15187655136204598,0.0512698877847972,
North Dakota State,0.6314370879224802,0.015646996715044607,0.00239859423907325,0.00013399312437498633,4.776214731850902e-06,2.012197764329959e-07,8.008737512841471e-09,
