Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,
Abilene Christian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Arizona State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Auburn,1.0,1.0,1.0,1.0,0.39890397544983736,0.08919062072600517,0.02198691770439761,
Baylor,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Belmont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bradley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Buffalo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Cincinnati,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colgate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Duke,1.0,1.0,1.0,1.0,0.6011400963849631,0.30514855399795315,0.1745811657024683,
Fairleigh Dickinson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Florida ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Florida State,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Gardner-Webb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Georgia State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gonzaga,1.0,1.0,1.0,1.0,0.6550141803407212,0.3578654686833162,0.24256350701242865,
Houston,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Iona,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iowa,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Iowa State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kansas,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Kansas State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kentucky,1.0,1.0,1.0,1.0,0.6010960245501626,0.2347784414040774,0.06316505718573302,
Liberty,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Louisville,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
LSU,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Marquette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maryland,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Michigan,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Michigan State,1.0,1.0,1.0,1.0,0.39885990361503687,0.14571592315656484,0.07667124499217667,
Minnesota,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Miss State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Montana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Murray State,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
N. Kentucky,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
N. Mexico State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
NC Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nevada,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
North Carolina,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
North Dakota State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Northeastern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ohio State,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Oklahoma,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Old Dominion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ole Miss,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oregon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Prairie View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Purdue,1.0,1.0,1.0,1.0,0.28733411048124546,0.11935652652655687,0.026079665302353894,
Saint Louis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saint Mary's,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Seton Hall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
St. Johns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Syracuse,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Temple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tennessee,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Texas Tech,1.0,1.0,1.0,1.0,0.34498581965927877,0.19127005416216578,0.0787953968549906,
UC Irvine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
UCF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Utah State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Va Tech,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
VCU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vermont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Villanova,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Virginia,1.0,1.0,1.0,1.0,0.7126658895187545,0.5566744113433605,0.3161570452454512,
Washington,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Wisconsin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wofford,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Yale,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
