Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,
Abilene Christian,1,0.09591739979838454,0.018249911059015276,0.0022622729413145247,0.00030936334189834254,3.702876834495208e-05,4.16392591199058e-06,
Arizona State,0.5209708215708971,0.187672717214767,0.04735444235035968,0.01237549073611798,0.0036335513293397864,0.0009884419172356978,0.0002588607141106488,
Auburn,1,0.6949635088660394,0.39549940554752927,0.19511003689800901,0.0949945367914739,0.04348829134582344,0.018911512471399463,
Baylor,1,0.4939580317451622,0.15616294279562482,0.07254707577171594,0.022461702262750637,0.007757360510748895,0.0025674668720886734,
Belmont,0.5738068023344736,0.20981673369344,0.09969407595403791,0.029599094238981286,0.008898363832183185,0.002537740074969613,0.0007341928449629586,
Bradley,1,0.0952888707188082,0.011896979051639072,0.0018345261466145594,0.00020043610425256043,2.0256490152029333e-05,1.9832802161742787e-06,
Buffalo,1,0.6771793596777023,0.2584249571197017,0.10477845984200443,0.04517655003123194,0.01907714593850701,0.007676679808321912,
Cincinnati,1,0.6291640431199406,0.31845510348256933,0.1633051867312418,0.05319388669060929,0.02181510427724318,0.007489311193240573,
Colgate,1,0.17287686885890508,0.05006490520957691,0.01054487471456884,0.0016685155630830916,0.0002680546094915707,4.047412619161524e-05,
Duke,1,0.922313572512325,0.6327635896228796,0.46922640087463324,0.3157772933326265,0.18359912372135384,0.11239725267404321,
Fairleigh Dickinson,0.4985352520364277,0.04821425687499729,0.008675883821482691,0.0014634515643601868,0.00016372053353260946,1.8590763942910264e-05,2.040147090797245e-06,
Florida ,1,0.5236570933411133,0.17763098184955217,0.06642685211987619,0.02657716731902298,0.010435691193381919,0.003847574108332135,
Florida State,1,0.6966950180424265,0.4657974610737014,0.21336515600711323,0.08726249188245766,0.04231864651541709,0.01915592665465051,
Gardner-Webb,1,0.09646612381518893,0.021876235858441003,0.003409702253636129,0.0005862699692758832,7.668500387756396e-05,9.454711752315464e-06,
Georgia State,1,0.1347198987525764,0.03193067517037517,0.006179726906703609,0.0011366150729211302,0.00019683099762132455,3.1986435679736986e-05,
Gonzaga,1,0.9257387002625579,0.7160951579289982,0.5218686628233117,0.3253520303469184,0.20567091476770052,0.13768340261489156,
Houston,1,0.8652801012474236,0.6089192528899176,0.32807377075292754,0.16836787593446184,0.08205464213585834,0.03434513369756971,
Iona,1,0.10048351057004168,0.020198069708426556,0.0029308628669166585,0.0003990885434878237,4.979630016943264e-05,5.121217460492644e-06,
Iowa,1,0.37083595688005944,0.158461992115008,0.06671055041302838,0.022004723488140268,0.007898483556534119,0.002199058393419307,
Iowa State,1,0.6477745399416635,0.22119066329349257,0.1045142266756123,0.049359650534697166,0.0213115485101674,0.0073849918109973375,
Kansas,1,0.7278852265598805,0.4051925653599431,0.18349787104837084,0.0900331072318212,0.03972455162228097,0.015226245116659433,
Kansas State,1,0.5964924184652465,0.23231112971682655,0.09422061106207821,0.053557462162350404,0.028023213694759987,0.012121841783220025,
