Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS  Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS  Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,Won a Major Conference Loser,Rebounds Loser
Duke,Wisconsin,68,63,0,30,24.14,0.502,0.6818,124.5,92,25.9,0.5881,0.879,21,15,1,11.2,9,0.765,1,65.6,11,0,37.2,13,24.99,0.48,0.6798,129,95.2,30.4,0.5845,0.912,6,15.8,1,7.4,9,0.738,1,56.1,1,1,33.9
Duke,Michigan State,81,61,0,30,24.14,0.502,0.6818,124.5,92,25.9,0.5881,0.879,21,15,1,11.2,9,0.765,1,65.6,11,0,37.2,17,17.53,0.471,0.622,116.6,94.9,18,0.5906,0.676,12,8.5,1,11.6,7,0.713,7,63.4,6,0,37.7
Wisconsin,Kentucky,71,64,0,13,24.99,0.48,0.6798,129,95.2,30.4,0.5845,0.912,6,15.8,1,7.4,9,0.738,1,56.1,1,1,33.9,15,29.45,0.469,0.678,121.3,84.4,33.9,0.5707,1,11,20.9,1,10.6,10,0.832,1,54,5,1,38.2
Duke,Gonzaga,66,52,0,30,24.14,0.502,0.6818,124.5,92,25.9,0.5881,0.879,21,15,1,11.2,9,0.765,1,65.6,11,0,37.2,15,21.9,0.524,0.6428,121.7,93.9,26,0.5452,0.939,4,17.1,0,10.6,9,0.81,2,60.9,0,0,37.7
Michigan State,Louisville,76,70,1,17,17.53,0.471,0.622,116.6,94.9,18,0.5906,0.676,12,8.5,1,11.6,7,0.713,7,63.4,6,0,37.7,19,18.65,0.429,0.6164,110.2,88.9,16.5,0.5745,0.75,12,9.7,1,11.8,5,0.741,4,59.5,7,0,38.1
Wisconsin,Arizona,85,78,0,13,24.99,0.48,0.6798,129,95.2,30.4,0.5845,0.912,6,15.8,1,7.4,9,0.738,1,56.1,1,1,33.9,7,24.8,0.489,0.6643,119.9,87.5,29.6,0.5713,0.912,5,17.8,1,11.2,10,0.741,2,58.6,0,1,37.3
Kentucky,Notre Dame,68,66,0,15,29.45,0.469,0.678,121.3,84.4,33.9,0.5707,1,11,20.9,1,10.6,10,0.832,1,54,5,1,38.2,11,19.42,0.51,0.6279,125.4,100.4,22.5,0.5435,0.853,1,13.2,1,9.4,8,0.662,3,65.6,0,1,32.8
Duke,Utah,63,57,0,30,24.14,0.502,0.6818,124.5,92,25.9,0.5881,0.879,21,15,1,11.2,9,0.765,1,65.6,11,0,37.2,2,21.3,0.485,0.6231,116.4,89.2,22.4,0.5643,0.742,0,14.5,1,11.4,6,0.571,5,56.9,0,0,34.8
Gonzaga,UCLA,74,62,0,15,21.9,0.524,0.6428,121.7,93.9,26,0.5452,0.939,4,17.1,0,10.6,9,0.81,2,60.9,0,0,37.7,8,12.21,0.441,0.5825,112.9,98.2,12.8,0.5674,0.606,2,4,1,11.9,6,0.665,11,68,0,0,38
Louisville,NC State,75,65,0,19,18.65,0.429,0.6164,110.2,88.9,16.5,0.5745,0.75,12,9.7,1,11.8,5,0.741,4,59.5,7,0,38.1,10,14.25,0.437,0.589,114.9,98.9,8.5,0.5898,0.606,2,5,1,10.6,6,0.643,8,65.4,0,0,37.8
