Schl,Opp,PTS,OPP Points,OT
Duke,Wisconsin,68,63,
Duke,Michigan State,81,61,
Wisconsin,Kentucky,71,64,
Duke,Gonzaga,66,52,
Michigan State,Louisville,76,70,1
Wisconsin,Arizona,85,78,
Kentucky,Notre Dame,68,66,
Duke,Utah,63,57,
Gonzaga,UCLA,74,62,
Louisville,NC State,75,65,
Michigan State,Oklahoma,62,58,
Arizona,Xavier,68,60,
Kentucky,West Virginia,78,39,
Wisconsin,North Carolina,79,72,
Notre Dame,Wichita State,81,70,
Oklahoma,Dayton,72,66,
Duke,San Diego State,68,49,
Gonzaga,Iowa,87,68,
Wichita State,Kansas,78,65,
Louisville,UNI,66,53,
West Virginia,Maryland,69,59,
Michigan State,Virginia,60,54,
Wisconsin,Oregon,72,65,
UCLA,UAB,92,75,
Arizona,Ohio State,73,58,
North Carolina,Arkansas,87,78,
Notre Dame,Butler,67,64,1
Kentucky,Cincinnati,64,51,
Utah,Georgetown,75,64,
Xavier,Georgia State,75,67,
NC State,Villanova,71,68,
Oklahoma,Albany,69,60,
Virginia,Belmont,79,67,
West Virginia,Buffalo,68,62,
Louisville,UC Irvine,57,55,
Wisconsin,Coastal Carolina,86,72,
Iowa,Davidson,83,52,
Dayton,Providence,66,53,
Duke,Robert Morris,85,56,
Michigan State,Georgia,70,63,
Gonzaga,North Dakota State,86,76,
Wichita State,Indiana,81,76,
Kansas,New Mexico State,75,56,
Maryland,Valparaiso,65,62,
UNI,Wyoming,71,54,
Oregon,Oklahoma State,79,73,
San Diego State,St. John's,76,64,
UAB,Iowa State,60,59,
Arizona,Texas Southern,93,72,
Arkansas,Wofford,56,53,
Georgia State,Baylor,57,56,
Butler,Texas,56,48,
Cincinnati,Purdue,66,65,1
Georgetown,Eastern Washington,84,74,
Kentucky,Hampton,79,56,
North Carolina,Harvard,67,65,
Villanova,Lafayette,93,52,
NC State,LSU,66,65,
Xavier,Mississippi,76,57,
Notre Dame,Northeastern,69,65,
Ohio State,VCU,75,72,1
UCLA,SMU,60,59,
Utah,Stephen F. Austin,57,50,
