Schl,Opp,PTS,OPP Points,z
North Carolina,Syracuse,83,66,
Villanova,North Carolina,77,74,
North Carolina,Syracuse,83,66,
Villanova,Oklahoma,95,51,
North Carolina,Notre Dame,88,74,
Syracuse,Virginia,68,62,
Villanova,Kansas,64,59,
Oklahoma,Oregon,80,68,
North Carolina,Indiana,101,86,
Notre Dame,Wisconsin,61,56,
Syracuse,Gonzaga,63,60,
Virginia,Iowa State,84,71,
Kansas,Maryland,79,63,
Oklahoma,Texas A&M,77,63,
Oregon,Duke,82,68,
Villanova,Miami (FL),92,69,
Maryland,Hawaii,73,60,
Notre Dame,SF Austin,76,75,
Oklahoma,VCU,85,81,
Oregon,St. Josephs,69,64,
Syracuse,MTSU,75,50,
Texas A&M,Northern Iowa,92,88,2
Villanova,Iowa,87,68,
Wisconsin,Xavier,66,63,
Duke,Yale,71,64,
Iowa State,Ark Little Rock,78,61,
Kansas,Connecticut,73,61,
Indiana,Kentucky,73,67,
Miami (FL),Wichita State,65,57,
North Carolina,Providence,85,66,
Gonzaga,Utah,82,59,
Virginia,Butler,77,69,
Hawaii,California,77,66,
Syracuse,Dayton,70,51,
Iowa,Temple,72,70,1
Maryland,South Dakota State,79,74,
MTSU,Michigan State,90,81,
Notre Dame,Michigan,70,63,
Oklahoma,CS Bakersfield,82,68,
Oregon,Holy Cross,91,52,
VCU,Oregon State,75,67,
St. Josephs,Cincinnati,78,76,
Northern Iowa,Texas,75,72,
Texas A&M,WI Green Bay,92,65,
Villanova,UNC Asheville,86,56,
SF Austin,West Virginia,70,56,
Wisconsin,Pittsburgh,47,43,
Wichita State,Arizona,65,55,
Yale,Baylor,79,75,
Connecticut,Colorado,74,67,
Duke,UNC Wilmington,93,85,
Indiana,Chattanooga,99,74,
Iowa State,Iona,94,81,
Kansas,Austin Peay,105,79,
Kentucky,Stony Brook,85,57,
Miami (FL),Buffalo,79,72,
North Carolina,Florida Gulf Coast,83,67,
Ark Little Rock,Purdue,85,83,2
Gonzaga,Seton Hall,68,52,
Providence,USC,70,69,
Butler,Texas Tech,71,61,
Utah,Fresno State,80,69,
Virginia,Hampton,81,45,
