0.6291935777250206, {'Coach Tourney Appearances', 'FG%', 'Win %'}
0.6292484963663065, {'Coach Tourney Appearances', 'FG%', 'Coach Record'}
0.6192423065433503, {'Coach Tourney Appearances', 'Turnovers per game', 'FG%'}
0.6276685386736748, {'Coach Tourney Appearances', 'FG%', 'Major Conference'}
0.5820106508801284, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%'}
0.6434147396853088, {'Coach Tourney Appearances', 'Strength of Schedule', 'FG%'}
0.6180129343792093, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'FG%'}
0.5754025041482921, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'FG%'}
0.6291472909236875, {'Won a Major Conference', 'Coach Tourney Appearances', 'FG%'}
0.5763670717797378, {'Seed', 'Coach Tourney Appearances', 'FG%'}
0.5216152122992119, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.6194051271687495, {'Coach Tourney Appearances', 'Rebounds', 'FG%'}
0.5669020300897293, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Major Conference'}
0.5652430773324827, {'Coach Tourney Appearances', 'Turnovers per game', 'Adj Off Efficiency'}
0.566473653651066, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Win %'}
0.5999412858963449, {'Coach Tourney Appearances', 'Strength of Schedule', 'Adj Off Efficiency'}
0.5644307896446716, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Adj Off Efficiency'}
0.5512183687072701, {'Seed', 'Coach Tourney Appearances', 'Adj Off Efficiency'}
0.5666269131761371, {'Won a Major Conference', 'Coach Tourney Appearances', 'Adj Off Efficiency'}
0.5719390853905832, {'Coach Tourney Appearances', 'Rebounds', 'Adj Off Efficiency'}
0.5561537440591321, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'Major Conference'}
0.5665339146634081, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Coach Record'}
0.5564571301152386, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'Win %'}
0.5998737596976758, {'Coach Tourney Appearances', 'Strength of Schedule', 'Adj Def Efficiency'}
0.545063034475657, {'Coach Tourney Appearances', 'Turnovers per game', 'Adj Def Efficiency'}
0.5601773215151868, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Adj Def Efficiency'}
0.5473275980055059, {'Seed', 'Coach Tourney Appearances', 'Adj Def Efficiency'}
0.5564867645203717, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'Coach Record'}
0.5513017067730008, {'Coach Tourney Appearances', 'Rebounds', 'Adj Def Efficiency'}
0.5564745133349315, {'Won a Major Conference', 'Coach Tourney Appearances', 'Adj Def Efficiency'}
0.6383187567429104, {'Coach Tourney Appearances', 'Strength of Schedule', 'Major Conference'}
0.6386509750793508, {'Coach Tourney Appearances', 'Strength of Schedule', 'Win %'}
0.6414166614681964, {'Coach Tourney Appearances', 'Strength of Schedule', 'Wins Last 10 Games'}
0.6380813806555281, {'Coach Tourney Appearances', 'Strength of Schedule', 'Turnovers per game'}
0.6378383114350553, {'Coach Tourney Appearances', 'Strength of Schedule', 'Rebounds'}
0.6386996322973694, {'Coach Tourney Appearances', 'Strength of Schedule', 'Coach Record'}
0.6383918078683265, {'Coach Tourney Appearances', 'Strength of Schedule', 'Won a Major Conference'}
0.5976194170353677, {'Seed', 'Coach Tourney Appearances', 'Strength of Schedule'}
0.6118987863118269, {'Coach Tourney Appearances', 'Major Conference', 'Win %'}
0.5969101500446383, {'Coach Tourney Appearances', 'Turnovers per game', 'Win %'}
0.6024611478053471, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Win %'}
0.6128315101279326, {'Coach Tourney Appearances', 'Coach Record', 'Win %'}
0.6042964617469799, {'Coach Tourney Appearances', 'Rebounds', 'Win %'}
0.6126938643116424, {'Coach Tourney Appearances', 'Won a Major Conference', 'Win %'}
0.5579345068138479, {'Seed', 'Coach Tourney Appearances', 'Win %'}
0.5946632536481755, {'Coach Tourney Appearances', 'Turnovers per game', 'Major Conference'}
0.6120331608038254, {'Coach Tourney Appearances', 'Coach Record', 'Major Conference'}
0.6013119486230485, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Major Conference'}
0.6119628203960328, {'Coach Tourney Appearances', 'Won a Major Conference', 'Major Conference'}
0.5584382110876541, {'Seed', 'Coach Tourney Appearances', 'Major Conference'}
0.6039461229640182, {'Coach Tourney Appearances', 'Rebounds', 'Major Conference'}
0.590365079109591, {'Coach Tourney Appearances', 'Turnovers per game', 'Wins Last 10 Games'}
0.5972624879200662, {'Coach Tourney Appearances', 'Turnovers per game', 'Coach Record'}
0.5968392777811269, {'Coach Tourney Appearances', 'Turnovers per game', 'Won a Major Conference'}
0.554469409804688, {'Seed', 'Coach Tourney Appearances', 'Turnovers per game'}
0.5957382150678867, {'Coach Tourney Appearances', 'Turnovers per game', 'Rebounds'}
0.6026090837544072, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Coach Record'}
0.6018765093666403, {'Won a Major Conference', 'Coach Tourney Appearances', 'Wins Last 10 Games'}
0.6025050859421682, {'Coach Tourney Appearances', 'Rebounds', 'Wins Last 10 Games'}
0.5581159604812396, {'Seed', 'Coach Tourney Appearances', 'Wins Last 10 Games'}
0.6127758954329331, {'Coach Tourney Appearances', 'Won a Major Conference', 'Coach Record'}
0.5579496156984297, {'Seed', 'Coach Tourney Appearances', 'Coach Record'}
0.6043775939719309, {'Coach Tourney Appearances', 'Rebounds', 'Coach Record'}
0.5581716534503861, {'Seed', 'Coach Tourney Appearances', 'Won a Major Conference'}
0.5584393367612069, {'Seed', 'Coach Tourney Appearances', 'Rebounds'}
0.6038837799899641, {'Coach Tourney Appearances', 'Rebounds', 'Won a Major Conference'}
0.5421833233751104, {'Adj Off Efficiency', 'Adj Def Efficiency', 'FG%'}
0.6217351093906398, {'Adj Off Efficiency', 'Strength of Schedule', 'FG%'}
0.592984169662482, {'Adj Off Efficiency', 'FG%', 'Win %'}
0.592007936431883, {'Adj Off Efficiency', 'FG%', 'Major Conference'}
0.5942834004908681, {'Adj Off Efficiency', 'Turnovers per game', 'FG%'}
0.5898212594610523, {'Adj Off Efficiency', 'Wins Last 10 Games', 'FG%'}
0.5933211185923877, {'Adj Off Efficiency', 'FG%', 'Coach Record'}
0.567564612181263, {'Seed', 'Adj Off Efficiency', 'FG%'}
0.593097938810847, {'Won a Major Conference', 'Adj Off Efficiency', 'FG%'}
0.6102975271689891, {'Adj Off Efficiency', 'Rebounds', 'FG%'}
0.5952095518388351, {'Adj Def Efficiency', 'FG%', 'Win %'}
0.6320712870353711, {'Strength of Schedule', 'Adj Def Efficiency', 'FG%'}
0.5920098254385479, {'Adj Def Efficiency', 'FG%', 'Major Conference'}
0.599716676688294, {'Wins Last 10 Games', 'Adj Def Efficiency', 'FG%'}
0.5780420578699423, {'Turnovers per game', 'Adj Def Efficiency', 'FG%'}
0.5950470973438227, {'Adj Def Efficiency', 'FG%', 'Coach Record'}
0.579194874035794, {'Seed', 'Adj Def Efficiency', 'FG%'}
0.686502717724776, {'Strength of Schedule', 'FG%', 'Win %'}
0.6246337345131912, {'Rebounds', 'Adj Def Efficiency', 'FG%'}
0.594607356427068, {'Won a Major Conference', 'Adj Def Efficiency', 'FG%'}
0.6864522316597472, {'Strength of Schedule', 'FG%', 'Major Conference'}
0.6862235715560373, {'Turnovers per game', 'Strength of Schedule', 'FG%'}
0.686438765141107, {'Wins Last 10 Games', 'Strength of Schedule', 'FG%'}
0.6865033865641058, {'Strength of Schedule', 'FG%', 'Coach Record'}
0.6869879619653492, {'Strength of Schedule', 'Rebounds', 'FG%'}
0.6864798918036785, {'Won a Major Conference', 'Strength of Schedule', 'FG%'}
0.6842817799626981, {'Major Conference', 'FG%', 'Win %'}
0.6236382663794848, {'Seed', 'Strength of Schedule', 'FG%'}
0.6842817815403972, {'Wins Last 10 Games', 'FG%', 'Win %'}
0.684281778817306, {'Coach Record', 'FG%', 'Win %'}
0.68522457266505, {'Turnovers per game', 'FG%', 'Win %'}
0.5867299053398383, {'Seed', 'FG%', 'Win %'}
0.6842817724524897, {'Won a Major Conference', 'FG%', 'Win %'}
0.6842816836327712, {'Rebounds', 'FG%', 'Win %'}
0.6842817730900833, {'Wins Last 10 Games', 'FG%', 'Major Conference'}
0.6842817169544186, {'Coach Record', 'FG%', 'Major Conference'}
0.6848448715270027, {'Turnovers per game', 'FG%', 'Major Conference'}
0.5870025216850243, {'Seed', 'FG%', 'Major Conference'}
0.6842818866803905, {'Rebounds', 'FG%', 'Major Conference'}
0.6842817604396465, {'Won a Major Conference', 'FG%', 'Major Conference'}
0.6842818062336699, {'Turnovers per game', 'FG%', 'Coach Record'}
0.6844162391205391, {'Wins Last 10 Games', 'Turnovers per game', 'FG%'}
0.5930290905251681, {'Seed', 'Turnovers per game', 'FG%'}
0.6846021659047326, {'Won a Major Conference', 'Turnovers per game', 'FG%'}
0.6842817793838727, {'Wins Last 10 Games', 'FG%', 'Coach Record'}
0.6842816005025057, {'Turnovers per game', 'Rebounds', 'FG%'}
0.6842816981010513, {'Won a Major Conference', 'Wins Last 10 Games', 'FG%'}
0.5897581392366329, {'Seed', 'Wins Last 10 Games', 'FG%'}
0.6842817796005773, {'Wins Last 10 Games', 'Rebounds', 'FG%'}
0.6842817749525694, {'Won a Major Conference', 'FG%', 'Coach Record'}
0.5865613845206663, {'Seed', 'FG%', 'Coach Record'}
0.5927912940387878, {'Strength of Schedule', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.684281781150504, {'Rebounds', 'FG%', 'Coach Record'}
0.5869519499199105, {'Seed', 'Won a Major Conference', 'FG%'}
0.5968108825912092, {'Seed', 'Rebounds', 'FG%'}
0.684281788674584, {'Won a Major Conference', 'Rebounds', 'FG%'}
0.5205577784186315, {'Adj Def Efficiency', 'Adj Off Efficiency', 'Win %'}
0.5195479005409027, {'Turnovers per game', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.5212174859760138, {'Adj Def Efficiency', 'Adj Off Efficiency', 'Major Conference'}
0.5230033981789781, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.5721822563587419, {'Won a Major Conference', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.5204965418293405, {'Adj Def Efficiency', 'Adj Off Efficiency', 'Coach Record'}
0.5164852544293762, {'Seed', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.5309793783421093, {'Rebounds', 'Adj Def Efficiency', 'Adj Off Efficiency'}
0.6087454752081765, {'Strength of Schedule', 'Adj Off Efficiency', 'Win %'}
0.6088678787585221, {'Strength of Schedule', 'Adj Off Efficiency', 'Major Conference'}
0.6064255666418897, {'Turnovers per game', 'Strength of Schedule', 'Adj Off Efficiency'}
0.6067518539375812, {'Wins Last 10 Games', 'Strength of Schedule', 'Adj Off Efficiency'}
0.608759835063008, {'Strength of Schedule', 'Adj Off Efficiency', 'Coach Record'}
0.59346590955091, {'Seed', 'Strength of Schedule', 'Adj Off Efficiency'}
0.608662708364295, {'Won a Major Conference', 'Strength of Schedule', 'Adj Off Efficiency'}
0.6206514240288019, {'Strength of Schedule', 'Rebounds', 'Adj Off Efficiency'}
0.5858048097337635, {'Major Conference', 'Adj Off Efficiency', 'Win %'}
0.5848481291612241, {'Turnovers per game', 'Adj Off Efficiency', 'Win %'}
0.5831659993738485, {'Wins Last 10 Games', 'Adj Off Efficiency', 'Win %'}
0.5856391032952328, {'Coach Record', 'Adj Off Efficiency', 'Win %'}
0.5620587279459536, {'Seed', 'Adj Off Efficiency', 'Win %'}
0.6006251368690185, {'Rebounds', 'Adj Off Efficiency', 'Win %'}
0.58467802058161, {'Turnovers per game', 'Adj Off Efficiency', 'Major Conference'}
0.5854451519465914, {'Won a Major Conference', 'Adj Off Efficiency', 'Win %'}
0.5927791492165708, {'Wins Last 10 Games', 'Adj Off Efficiency', 'Major Conference'}
0.5859597130830398, {'Coach Record', 'Adj Off Efficiency', 'Major Conference'}
0.5627270910820448, {'Seed', 'Adj Off Efficiency', 'Major Conference'}
0.5857337853757605, {'Won a Major Conference', 'Adj Off Efficiency', 'Major Conference'}
0.6007403027317756, {'Rebounds', 'Adj Off Efficiency', 'Major Conference'}
0.583177178307525, {'Wins Last 10 Games', 'Turnovers per game', 'Adj Off Efficiency'}
0.5848818179963957, {'Turnovers per game', 'Adj Off Efficiency', 'Coach Record'}
0.5623210584335836, {'Seed', 'Turnovers per game', 'Adj Off Efficiency'}
0.5849227855492084, {'Won a Major Conference', 'Turnovers per game', 'Adj Off Efficiency'}
0.6009088095799573, {'Turnovers per game', 'Rebounds', 'Adj Off Efficiency'}
0.5831959531106085, {'Wins Last 10 Games', 'Adj Off Efficiency', 'Coach Record'}
0.576805874286832, {'Seed', 'Wins Last 10 Games', 'Adj Off Efficiency'}
0.5830343027057279, {'Won a Major Conference', 'Wins Last 10 Games', 'Adj Off Efficiency'}
0.5990683318230383, {'Wins Last 10 Games', 'Rebounds', 'Adj Off Efficiency'}
0.5619918315698351, {'Seed', 'Adj Off Efficiency', 'Coach Record'}
0.5855772931896895, {'Won a Major Conference', 'Adj Off Efficiency', 'Coach Record'}
0.600647487020345, {'Rebounds', 'Adj Off Efficiency', 'Coach Record'}
0.5646007764253884, {'Seed', 'Won a Major Conference', 'Adj Off Efficiency'}
0.5677571999315457, {'Seed', 'Rebounds', 'Adj Off Efficiency'}
0.6006888212822851, {'Won a Major Conference', 'Rebounds', 'Adj Off Efficiency'}
0.6178739560784011, {'Strength of Schedule', 'Adj Def Efficiency', 'Win %'}
0.616258595540706, {'Strength of Schedule', 'Adj Def Efficiency', 'Major Conference'}
0.6014254095460952, {'Turnovers per game', 'Strength of Schedule', 'Adj Def Efficiency'}
0.619303079681229, {'Wins Last 10 Games', 'Strength of Schedule', 'Adj Def Efficiency'}
0.6178151898757498, {'Strength of Schedule', 'Adj Def Efficiency', 'Coach Record'}
0.5950389104699403, {'Seed', 'Strength of Schedule', 'Adj Def Efficiency'}
0.6173328371173403, {'Won a Major Conference', 'Strength of Schedule', 'Adj Def Efficiency'}
0.5712732078034812, {'Major Conference', 'Adj Def Efficiency', 'Win %'}
0.5524189653644431, {'Turnovers per game', 'Adj Def Efficiency', 'Win %'}
0.582141902387207, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Win %'}
0.6244628362486051, {'Strength of Schedule', 'Rebounds', 'Adj Def Efficiency'}
0.5777053975519205, {'Coach Record', 'Adj Def Efficiency', 'Win %'}
0.5903643474625222, {'Seed', 'Adj Def Efficiency', 'Win %'}
0.5759445710661283, {'Won a Major Conference', 'Adj Def Efficiency', 'Win %'}
0.6098895295903527, {'Rebounds', 'Adj Def Efficiency', 'Win %'}
0.5462791130737162, {'Turnovers per game', 'Adj Def Efficiency', 'Major Conference'}
0.5711821932717485, {'Coach Record', 'Adj Def Efficiency', 'Major Conference'}
0.5559265786361548, {'Seed', 'Adj Def Efficiency', 'Major Conference'}
0.5738273598754359, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Major Conference'}
0.6074623653504976, {'Rebounds', 'Adj Def Efficiency', 'Major Conference'}
0.5604177700365754, {'Wins Last 10 Games', 'Turnovers per game', 'Adj Def Efficiency'}
0.5712741917474796, {'Won a Major Conference', 'Adj Def Efficiency', 'Major Conference'}
0.5906290504078326, {'Seed', 'Turnovers per game', 'Adj Def Efficiency'}
0.5518675818494497, {'Turnovers per game', 'Adj Def Efficiency', 'Coach Record'}
0.5527498851420926, {'Won a Major Conference', 'Turnovers per game', 'Adj Def Efficiency'}
0.5819318018849081, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Coach Record'}
