0.6291472860925061, ('Coach Tourney Appearances', 'FG%', 'Won a Major Conference')
0.6843582865129555, ('Strength of Schedule', 'Turnovers per game', 'Rebounds')
0.5968392728403933, ('Coach Tourney Appearances', 'Turnovers per game', 'Won a Major Conference')
0.6042963809113139, ('Coach Tourney Appearances', 'Win %', 'Rebounds')
0.5462789992174586, ('Adj Def Efficiency', 'Major Conference', 'Turnovers per game')
0.6246338353636055, ('FG%', 'Adj Def Efficiency', 'Rebounds')
0.5929830120424083, ('FG%', 'Adj Off Efficiency', 'Win %')
0.5554902597549194, ('Win %', 'Coach Record', 'Seed')
0.5559265920050048, ('Adj Def Efficiency', 'Major Conference', 'Seed')
0.5756719303774879, ('Adj Def Efficiency', 'Coach Record', 'Won a Major Conference')
0.6006247169470884, ('Adj Off Efficiency', 'Win %', 'Rebounds')
0.5711820368015932, ('Adj Def Efficiency', 'Major Conference', 'Coach Record')
0.6842817898446378, ('Major Conference', 'Coach Record', 'Rebounds')
0.6842817958713429, ('Major Conference', 'Wins Last 10 Games', 'Rebounds')
0.6842817793755255, ('FG%', 'Wins Last 10 Games', 'Coach Record')
0.669613952406506, ('Win %', 'Major Conference', 'Won a Major Conference')
0.5759452594183907, ('Coach Record', 'Seed', 'Rebounds')
0.5601772424325017, ('Coach Tourney Appearances', 'Adj Def Efficiency', 'Wins Last 10 Games')
0.6841882271683414, ('Strength of Schedule', 'Win %', 'Wins Last 10 Games')
0.5204965471060876, ('Adj Off Efficiency', 'Adj Def Efficiency', 'Coach Record')
0.6841123003865246, ('Strength of Schedule', 'Major Conference', 'Wins Last 10 Games')
0.5822513145569317, ('Adj Off Efficiency', 'Major Conference', 'Wins Last 10 Games')
0.6842817815405768, ('FG%', 'Win %', 'Wins Last 10 Games')
0.5859600183992539, ('Adj Off Efficiency', 'Major Conference', 'Coach Record')
0.6173328761540392, ('Adj Def Efficiency', 'Strength of Schedule', 'Won a Major Conference')
0.6864387650348284, ('FG%', 'Strength of Schedule', 'Wins Last 10 Games')
0.583177184935362, ('Adj Off Efficiency', 'Turnovers per game', 'Wins Last 10 Games')
0.586561371913516, ('FG%', 'Coach Record', 'Seed')
0.5651800610354749, ('Win %', 'Major Conference', 'Seed')
0.5527497982742554, ('Adj Def Efficiency', 'Turnovers per game', 'Won a Major Conference')
0.6176588921059887, ('Major Conference', 'Turnovers per game', 'Coach Record')
0.6225505496358579, ('Win %', 'Major Conference', 'Turnovers per game')
0.6674358289796102, ('Turnovers per game', 'Wins Last 10 Games', 'Coach Record')
0.6025050789579649, ('Coach Tourney Appearances', 'Wins Last 10 Games', 'Rebounds')
0.6842819585177413, ('Wins Last 10 Games', 'Won a Major Conference', 'Rebounds')
0.6841894378190817, ('Strength of Schedule', 'Wins Last 10 Games', 'Coach Record')
0.6038837604933213, ('Coach Tourney Appearances', 'Won a Major Conference', 'Rebounds')
0.5712732226358217, ('Adj Def Efficiency', 'Win %', 'Major Conference')
0.6224780968952195, ('Major Conference', 'Turnovers per game', 'Wins Last 10 Games')
0.6043776092668403, ('Coach Tourney Appearances', 'Coach Record', 'Rebounds')
0.6842817486733873, ('Win %', 'Coach Record', 'Rebounds')
0.608867978893157, ('Adj Off Efficiency', 'Strength of Schedule', 'Major Conference')
0.5869518908641241, ('FG%', 'Seed', 'Won a Major Conference')
0.6386996202403206, ('Coach Tourney Appearances', 'Strength of Schedule', 'Coach Record')
0.5998735244812831, ('Coach Tourney Appearances', 'Adj Def Efficiency', 'Strength of Schedule')
0.6383187752951441, ('Coach Tourney Appearances', 'Strength of Schedule', 'Major Conference')
0.5205580218613333, ('Adj Off Efficiency', 'Adj Def Efficiency', 'Win %')
0.5821419188785801, ('Adj Def Efficiency', 'Win %', 'Wins Last 10 Games')
0.6087600069102674, ('Adj Off Efficiency', 'Strength of Schedule', 'Coach Record')
0.6006474575799261, ('Adj Off Efficiency', 'Coach Record', 'Rebounds')
0.6842817461871117, ('Win %', 'Wins Last 10 Games', 'Coach Record')
0.6468423170670077, ('Major Conference', 'Wins Last 10 Games', 'Coach Record')
0.6126938383468241, ('Coach Tourney Appearances', 'Win %', 'Won a Major Conference')
0.5946071884355286, ('FG%', 'Adj Def Efficiency', 'Won a Major Conference')
0.5831959606098677, ('Adj Off Efficiency', 'Wins Last 10 Games', 'Coach Record')
0.5820106513721675, ('Coach Tourney Appearances', 'FG%', 'Adj Def Efficiency')
0.584848147756181, ('Adj Off Efficiency', 'Win %', 'Turnovers per game')
0.6842817889514182, ('FG%', 'Won a Major Conference', 'Rebounds')
0.6194051260606667, ('Coach Tourney Appearances', 'FG%', 'Rebounds')
